03200745,-4,296,DAL,LIT
03200745,-5,1521,MDW,LAS
03200745,-5,293,DAL,LBB
03200745,-5,368,SLC,LAS
03200745,-6,283,BDL,BWI
03200745,0,189,AUS,DAL
03200745,0,487,TPA,MSY
03200745,4,333,SJC,ONT
03200750,-1,344,PDX,BOI
03200750,-10,174,PBI,TPA
03200750,-10,646,PHX,OAK
03200750,-19,1020,HOU,PHX
03200750,-2,371,SNA,OAK
03200750,-22,351,STL,TUL
03200750,-6,405,MDW,MCI
03200750,-8,229,DTW,MDW
03200750,0,1448,PHX,BNA
03200750,0,197,FLL,TPA
03200750,3,223,BUR,LAS
03200750,3,254,STL,SDF
03200750,5,108,PVD,ISP
03200750,5,189,DAL,AUS
03200750,5,220,ISP,BWI
03200754,-36,1797,BNA,LAX
03200754,3,229,STL,IND
03200755,-11,358,BUR,SMF
03200755,-11,419,OKC,HOU
03200755,-11,457,BNA,DTW
03200755,-12,367,TUS,SAN
03200755,-13,321,BHM,MSY
03200755,-2,192,HOU,SAT
03200755,-28,1262,STL,PHX
03200755,-6,325,ONT,PHX
03200755,-7,236,LAS,LAX
03200755,-7,507,PHX,SLC
03200755,0,1363,LAX,MCI
03200755,0,395,BNA,MDW
03200755,2,569,SJC,PDX
03200755,3,997,MDW,TPA
03200755,8,197,TPA,FLL
03200758,-4,328,BWI,PVD
03200759,0,276,HOU,HRL
03200759,4,487,LAS,ABQ
03200800,-10,251,MDW,STL
03200800,-10,251,STL,MDW
03200800,-10,345,LAS,RNO
03200800,-12,1140,MCI,LAS
03200800,-12,281,BWI,BUF
03200800,-14,422,RNO,SLC
03200800,-14,883,PBI,BWI
03200800,-16,337,LAX,OAK
03200800,-18,1162,RDU,AUS
03200800,-2,998,MSY,BWI
03200800,-3,289,LBB,ABQ
03200800,-3,370,PHX,LAX
03200800,-5,239,DAL,HOU
03200800,-5,389,ONT,SMF
03200800,-7,148,HOU,AUS
03200800,-7,288,BWI,ALB
03200800,-9,197,LAS,ONT
03200800,0,239,HOU,DAL
03200800,0,303,MSY,HOU
03200800,11,369,BUR,PHX
03200800,13,342,SJC,SNA
03200800,13,989,MDW,MCO
03200800,2,407,OAK,LAS
03200804,-3,337,OAK,LAX
03200805,-13,484,JAX,BNA
03200805,-16,787,MCO,BWI
03200805,-3,284,MDW,CMH
03200805,-8,237,STL,MCI
03200805,-9,314,BWI,CLE
03200805,0,1037,PHX,OMA
03200805,0,338,CMH,BNA
03200805,0,358,SMF,BUR
03200805,10,1069,LAS,SAT
03200805,10,1073,ALB,MCO
03200805,17,822,SAT,BNA
03200805,5,321,MSY,BHM
03200805,6,174,TPA,PBI
03200805,7,283,BWI,BDL
03200806,21,972,ISP,MCO
03200809,-5,304,PHX,SAN
03200810,-5,256,LAS,PHX
03200810,-8,148,AUS,HOU
03200810,-8,1999,BWI,PHX
03200810,-8,328,ABQ,PHX
03200810,-9,236,LAX,LAS
03200810,0,197,ONT,LAS
03200810,0,389,SMF,ONT
03200810,1,689,SEA,SLC
03200810,10,178,FLL,MCO
03200810,15,671,SEA,OAK
03200810,3,714,LAX,ELP
03200813,2,325,BUR,OAK
03200814,-10,562,DAL,ELP
03200815,-13,223,LAS,BUR
03200815,-2,217,IAH,DAL
03200815,-22,1407,BWI,SAT
03200815,-5,307,CLE,MDW
03200815,-5,937,HOU,MDW
03200815,-6,237,TUL,DAL
03200815,-8,405,MDW,MCI
03200815,0,308,SJC,LAX
03200815,0,324,DAL,AMA
03200815,12,1751,SAN,BNA
03200815,12,367,SAN,TUS
03200815,2,162,IND,MDW
03200815,24,612,BNA,TPA
03200815,4,1999,PHX,BWI
03200815,5,248,SAT,DAL
03200817,-3,587,MCO,JAN
03200820,-11,407,LAS,OAK
03200820,-13,328,PHX,ABQ
03200820,-14,1363,MCI,LAX
03200820,-15,386,LAS,SJC
03200820,-2,550,MSY,MCO
03200820,-22,621,PHX,SJC
03200820,-3,335,RNO,BOI
03200820,-5,1044,MCI,PHX
03200820,-5,180,TPA,JAX
03200820,-5,248,DAL,SAT
03200820,-5,842,MDW,PVD
03200820,-9,550,MCO,MSY
03200820,0,405,MCI,MDW
03200820,0,496,ELP,SAT
03200820,0,588,BWI,BNA
03200820,13,188,SJC,RNO
03200820,22,1814,LAX,IND
03200820,6,562,ELP,DAL
03200823,-1,1020,HOU,PHX
03200824,-6,1588,BNA,LAS
03200824,4,319,DAL,MAF
03200825,-10,229,MDW,DTW
03200825,-10,296,BUR,SJC
03200825,-11,888,BWI,JAN
03200825,-15,333,ONT,SJC
03200825,-15,423,MDW,OMA
03200825,-3,335,BOI,RNO
03200825,-4,448,BNA,CLE
03200825,-5,162,MDW,IND
03200825,-8,487,STL,CLE
03200825,0,1044,PHX,MCI
03200825,0,328,PVD,BWI
03200825,3,480,SMF,SAN
03200827,13,223,TUL,MCI
03200828,-2,580,DAL,ABQ
03200829,-15,989,MCO,MDW
03200829,-2,646,OAK,PHX
03200829,0,1448,BNA,PHX
03200830,-1,1234,PVD,MCI
03200830,-1,370,LAX,PHX
03200830,-1,370,PHX,LAX
03200830,-10,236,LAS,LAX
03200830,-13,304,SAN,PHX
03200830,-15,802,MCO,CMH
03200830,-18,446,SAN,OAK
03200830,-19,687,STL,HOU
03200830,-5,239,DAL,HOU
03200830,-5,342,SNA,SJC
03200830,-6,239,HOU,DAL
03200830,-9,255,RDU,BWI
03200830,10,440,STL,DTW
03200830,10,872,PHX,AUS
03200830,13,368,LAS,SLC
03200830,5,417,SJC,SAN
03200830,5,580,ABQ,DAL
03200830,9,453,HOU,TUL
03200831,18,1588,LAS,BNA
03200835,-13,451,IND,MCI
03200835,-20,1444,MDW,PHX
03200835,-3,888,JAN,BWI
03200835,-4,347,PHX,ELP
03200835,-5,611,MDW,BWI
03200835,-6,480,SAN,SMF
03200835,-7,279,PDX,GEG
03200835,0,325,ONT,PHX
03200835,3,325,OAK,BUR
03200835,3,333,SJC,ONT
03200835,32,677,LAX,ABQ
03200835,5,337,OAK,LAX
03200838,-10,1069,SAT,LAS
03200840,-1,224,GEG,SEA
03200840,-10,180,RNO,OAK
03200840,-13,605,SMF,SEA
03200840,-15,1236,MHT,MCI
03200840,-2,254,SDF,STL
03200840,-3,479,PDX,SMF
03200840,-5,229,DTW,MDW
03200840,-5,303,HOU,MSY
03200840,-5,377,BWI,MHT
03200840,0,318,JAX,FLL
03200840,0,321,BHM,MSY
03200841,0,325,PHX,ONT
03200842,7,361,OAK,ONT
03200845,-1,1142,MHT,MCO
03200845,-10,313,MCI,OKC
03200845,-15,1235,HOU,LAS
03200845,-15,889,ABQ,OAK
03200845,-5,1099,OMA,LAS
03200845,-5,142,MCO,PBI
03200845,-5,148,AUS,HOU
03200845,-5,293,DAL,LBB
03200845,-5,588,OAK,SLC
03200845,-7,217,DAL,IAH
03200845,0,296,STL,LIT
03200845,0,313,OKC,MCI
